"Wavelength (nm)", "Reflectance (%)"
199.97, 50.303
200.73, 52.1873
201.49, 55.899
202.25, 58.8162
203.01, 61.1629
203.77, 63.8608
204.53, 65.9638
205.29, 67.1163
206.05, 67.7712
206.81, 67.7461
207.57, 67.3418
208.33, 66.1532
209.09, 64.6154
209.85, 62.3212
210.61, 59.7992
211.37, 56.486
212.13, 53.0016
212.89, 49.4392
213.65, 46.9118
214.41, 45.2647
215.17, 45.2157
215.93, 46.3491
216.69, 48.8604
217.45, 51.9004
218.2, 55.1337
218.96, 58.3966
219.72, 61.2128
220.48, 63.6768
221.24, 65.4107
222, 66.9321
222.76, 67.5057
223.52, 68.1641
224.27, 68.2113
225.03, 67.8273
225.79, 67.0134
226.55, 65.7408
227.31, 63.9439
228.06, 61.849
228.82, 59.0649
229.58, 56.165
230.34, 52.8453
231.1, 49.5325
231.85, 46.2609
232.61, 43.5077
233.37, 41.3662
234.13, 40.3134
234.88, 40.2844
235.64, 41.4726
236.4, 43.4536
237.15, 45.8464
237.91, 48.7562
238.67, 51.6893
239.43, 54.6834
240.18, 57.4596
240.94, 59.9416
241.7, 62.0864
242.45, 63.8178
243.21, 65.2716
243.97, 66.4599
244.72, 67.3185
245.48, 67.9617
246.23, 68.1767
246.99, 68.2839
247.75, 68.0806
248.5, 67.6571
249.26, 66.9458
250.01, 65.9015
250.77, 64.7026
251.52, 63.1059
252.28, 61.492
253.04, 59.6808
253.79, 57.6471
254.55, 55.7281
255.3, 53.6213
256.06, 51.7694
256.81, 50.271
257.57, 49.2226
258.32, 48.712
259.08, 48.8381
259.83, 49.4905
260.59, 50.8788
261.34, 52.6603
262.1, 54.7093
262.85, 56.9437
263.6, 59.4487
264.36, 61.9362
265.11, 64.2436
265.87, 66.1945
266.62, 68.1344
267.38, 69.7531
268.13, 71.3035
268.88, 72.4963
269.64, 73.2759
270.39, 74.0718
271.14, 74.7554
271.9, 75.187
272.65, 75.3206
273.41, 75.4022
274.16, 75.1004
274.91, 74.8566
275.67, 74.1956
276.42, 73.714
277.17, 72.7689
277.92, 71.8919
278.68, 70.7993
279.43, 69.3231
280.18, 67.8759
280.94, 66.1709
281.69, 64.4367
282.44, 62.5321
283.19, 60.6447
283.95, 58.5642
284.7, 56.638
285.45, 54.6514
286.2, 52.7125
286.95, 50.9129
287.71, 49.4611
288.46, 48.0586
289.21, 46.9195
289.96, 46.1451
290.71, 45.8604
291.46, 45.6147
292.22, 45.7994
292.97, 46.3416
293.72, 47.0823
294.47, 48.103
295.22, 48.9665
295.97, 50.0428
296.72, 51.189
297.48, 52.3367
298.23, 53.4754
298.98, 54.4058
299.73, 55.2938
300.48, 56.1966
301.23, 57.084
301.98, 57.8626
302.73, 58.431
303.48, 58.9919
304.23, 59.335
304.98, 59.6296
305.73, 60.0448
306.48, 60.0156
307.23, 60.0941
307.98, 59.9831
308.73, 59.9135
309.48, 59.7066
310.23, 59.2828
310.98, 58.8268
311.73, 58.4484
312.48, 57.7838
313.23, 57.0778
313.98, 56.2542
314.73, 55.41
315.48, 54.3473
316.23, 53.2718
316.97, 52.0858
317.72, 50.7954
318.47, 49.4586
319.22, 48.0019
319.97, 46.6382
320.72, 45.0404
321.47, 43.4936
322.22, 42.0193
322.96, 40.3985
323.71, 38.8178
324.46, 37.3609
325.21, 35.8206
325.96, 34.2767
326.7, 32.9315
327.45, 31.8245
328.2, 30.77
328.95, 29.9952
329.7, 29.5468
330.44, 29.0653
331.19, 28.7973
331.94, 28.8648
332.69, 29.0792
333.43, 29.5071
334.18, 30.044
334.93, 30.9625
335.68, 31.7663
336.42, 32.881
337.17, 34.1304
337.92, 35.3768
338.66, 36.6892
339.41, 37.8198
340.16, 39.1
340.9, 40.4754
341.65, 41.9796
342.4, 43.1443
343.14, 44.4091
343.89, 45.6962
344.63, 46.7183
345.38, 47.9144
346.13, 49.0503
346.87, 49.9321
347.62, 51.0143
348.36, 51.8374
349.11, 52.5978
349.86, 53.3024
350.6, 54.1173
351.35, 54.7993
352.09, 55.4063
352.84, 55.8689
353.58, 56.4531
354.33, 56.9057
355.07, 57.3875
355.82, 57.6681
356.56, 58.0289
357.31, 58.2712
358.05, 58.5239
358.8, 58.6151
359.54, 58.7907
360.29, 58.8462
361.03, 58.7223
361.78, 58.5985
362.52, 58.5285
363.27, 58.1444
364.01, 57.5932
364.75, 57.1834
365.5, 56.4997
366.24, 55.826
366.99, 54.9179
367.73, 53.8448
368.47, 52.8359
369.22, 51.791
369.96, 50.711
370.7, 49.5461
371.45, 48.0666
372.19, 46.481
372.93, 45.0403
373.68, 43.7174
374.42, 42.3014
375.16, 40.7224
375.91, 39.2401
376.65, 37.7438
377.39, 36.372
378.14, 34.9374
378.88, 33.5668
379.62, 32.3412
380.36, 31.1798
381.11, 30.0451
381.85, 29.0723
382.59, 28.2675
383.33, 27.5175
384.08, 26.8297
384.82, 26.2246
